track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,spotify_url
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3,https://open.spotify.com/search/Enchanted%20(Taylor's%20Version)%20Taylor%20Swift
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5,"https://open.spotify.com/search/BABY%20HELLO%20Rauw%20Alejandro,%20Bizarrap"
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9,https://open.spotify.com/search/Heat%20Waves%20Glass%20Animals
golden hour,JVKE,1,2022,7,15,4511,36,751134527,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3,https://open.spotify.com/search/golden%20hour%20JVKE
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,166,87,"1,056",1,,124,A#,Major,61,41,81,5,2,10,3,https://open.spotify.com/search/Sweater%20Weather%20The%20Neighbourhood
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4,"https://open.spotify.com/search/Quevedo:%20Bzrp%20Music%20Sessions,%20Vol.%2052%20Bizarrap,%20Quevedo"
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3,https://open.spotify.com/search/Viva%20La%20Vida%20Coldplay
Here With Me,d4vd,1,2022,7,17,3246,23,635412045,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3,https://open.spotify.com/search/Here%20With%20Me%20d4vd
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9,"https://open.spotify.com/search/Unholy%20(feat.%20Kim%20Petras)%20Sam%20Smith,%20Kim%20Petras"
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7,"https://open.spotify.com/search/Yandel%20150%20Yandel,%20Feid"
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6,https://open.spotify.com/search/CORAZï¿½ï¿½N%20VA%20Maria%20Becerra
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,300,65,"1,003",1,0,102,C#,Major,48,50,73,43,0,15,4,https://open.spotify.com/search/Riptide%20Vance%20Joy
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3,"https://open.spotify.com/search/Until%20I%20Found%20You%20(with%20Em%20Beihold)%20-%20Em%20Beihold%20Version%20Em%20Beihold,%20Stephen%20Sanchez"
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9,"https://open.spotify.com/search/Novidade%20na%20ï¿½ï¿%20Mc%20Livinho,%20DJ%20Matt%20D"
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3,https://open.spotify.com/search/Back%20To%20December%20(Taylor's%20Version)%20Taylor%20Swift
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,492,99,798,31,0,170,C#,Major,59,48,76,4,0,10,5,"https://open.spotify.com/search/STAY%20(with%20Justin%20Bieber)%20Justin%20Bieber,%20The%20Kid%20Laroi"
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4,"https://open.spotify.com/search/El%20Merengue%20Marshmello,%20Manuel%20Turizo"
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,440,125,"1,800",0,,110,C#,Major,50,45,41,75,0,11,3,https://open.spotify.com/search/Someone%20You%20Loved%20Lewis%20Capaldi
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8,"https://open.spotify.com/search/Me%20Porto%20Bonito%20Chencho%20Corleone,%20Bad%20Bunny"
Makeba,Jain,1,2015,6,22,6060,53,165484133,150,148,"2,703",22,"1,451",116,D,Major,82,40,66,39,51,25,7,https://open.spotify.com/search/Makeba%20Jain
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,1,52,8,0,"1,170",129,A,Major,63,84,82,70,8,9,7,"https://open.spotify.com/search/MONTAGEM%20-%20FR%20PUNK%20Ayparia,%20unxbected"
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3,https://open.spotify.com/search/Fast%20Car%20Luke%20Combs
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9,https://open.spotify.com/search/What%20It%20Is%20(Solo%20Version)%20Doechii
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4,"https://open.spotify.com/search/Coco%20Chanel%20Bad%20Bunny,%20Eladio%20Carrion"
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,19,45,0,0,10,136,A,Minor,62,19,53,11,0,6,4,https://open.spotify.com/search/Donï¿½ï¿½ï¿½t%20Bl%20Taylor%20Swift
Still With You,Jung Kook,1,2020,6,5,31,39,38411956,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4,https://open.spotify.com/search/Still%20With%20You%20Jung%20Kook
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33,"https://open.spotify.com/search/All%20My%20Life%20(feat.%20J.%20Cole)%20J.%20Cole,%20Lil%20Durk"
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3,https://open.spotify.com/search/Say%20Yes%20To%20Heaven%20Lana%20Del%20Rey
Snooze,SZA,1,2022,12,9,2839,25,399686758,58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13,https://open.spotify.com/search/Snooze%20SZA
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,89,143,"1,632",3,200,112,C#,Minor,56,24,66,7,0,12,3,https://open.spotify.com/search/Summertime%20Sadness%20Lana%20Del%20Rey
Take Two,BTS,1,2023,6,9,674,47,118482347,20,106,25,4,78,93,G,Major,62,57,59,3,0,38,3,https://open.spotify.com/search/Take%20Two%20BTS
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184,160,110,163,0,5,206,G,Major,43,50,55,50,0,15,10,https://open.spotify.com/search/Lover%20Taylor%20Swift
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165,17,119,19,2,266,88,G,Minor,68,17,71,15,0,11,5,"https://open.spotify.com/search/Too%20Many%20Nights%20(feat.%20Don%20Toliver%20&%20with%20Future)%20Future,%20Metro%20Boomin,%20Don%20Toliver"
